station,feature,corr_with_dT_target_train
TOURS,delta,0.349
MAASTRICHT,delta,0.201
DE_BILT,delta,0.19
HEATHROW,delta,0.182
DUSSELDORF,delta,0.158
PERPIGNAN,delta,0.125
MONTELIMAR,delta,0.11
OSLO,delta,0.077
HEATHROW,level,0.074
KASSEL,delta,0.067
STOCKHOLM,delta,0.065
MALMO,delta,0.043
OSLO,level,0.014
ROMA,delta,0.012
TOURS,level,0.01
STOCKHOLM,level,-0.003
DRESDEN,delta,-0.022
SONNBLICK,delta,-0.023
PERPIGNAN,level,-0.023
MALMO,level,-0.032
DE_BILT,level,-0.039
LJUBLJANA,delta,-0.046
MAASTRICHT,level,-0.053
DUSSELDORF,level,-0.066
ROMA,level,-0.066
MUENCHEN,delta,-0.071
BUDAPEST,level,-0.079
MONTELIMAR,level,-0.081
BASEL,delta,-0.083
LJUBLJANA,level,-0.092
KASSEL,level,-0.092
DRESDEN,level,-0.106
BUDAPEST,delta,-0.11
SONNBLICK,level,-0.12
MUENCHEN,level,-0.162
BASEL,level,-0.183
