,h=1,h=2,h=3,h=5,h=7,h=10
BASEL,0.824,0.629,0.479,0.304,0.199,0.077
BUDAPEST,0.481,0.372,0.3,0.214,0.143,0.049
DE_BILT,0.725,0.586,0.455,0.274,0.186,0.085
DRESDEN,0.654,0.512,0.402,0.264,0.178,0.088
DUSSELDORF,0.778,0.621,0.482,0.298,0.201,0.095
HEATHROW,0.688,0.583,0.453,0.271,0.159,0.06
KASSEL,0.738,0.578,0.449,0.288,0.192,0.083
LJUBLJANA,0.604,0.464,0.365,0.245,0.152,0.061
MAASTRICHT,0.804,0.644,0.501,0.305,0.207,0.098
MALMO,0.494,0.425,0.348,0.225,0.165,0.092
MONTELIMAR,0.695,0.537,0.407,0.261,0.153,0.049
MUENCHEN,0.757,0.571,0.433,0.273,0.179,0.071
OSLO,0.31,0.287,0.238,0.14,0.099,0.05
PERPIGNAN,0.524,0.407,0.303,0.188,0.117,0.038
ROMA,0.426,0.323,0.242,0.149,0.072,0.009
SONNBLICK,0.597,0.464,0.363,0.237,0.177,0.092
STOCKHOLM,0.361,0.329,0.283,0.183,0.129,0.068
TOURS,0.796,0.639,0.49,0.305,0.2,0.086
