model,MAE,MAE_lo,MAE_hi,RMSE,R2,corr,skill_vs_zero
zero_change,2.393,2.104,2.68,3.176,-0.0,,0.0
yesterday_delta,3.447,3.033,3.916,4.647,-1.1413,-0.0718,-0.4405
levels_all163,1.845,1.651,2.033,2.383,0.4368,0.6654,0.2288
deltas_all163,1.978,1.745,2.172,2.572,0.344,0.59,0.1737
lvl+d_all163,1.827,1.623,2.014,2.4,0.4288,0.6597,0.2365
lvl+d+grad,1.829,1.624,2.012,2.41,0.424,0.6596,0.2358
lvl+d+grad+season,1.834,1.63,2.016,2.415,0.4219,0.6571,0.2337
lvl+d+grad+missing,1.842,1.637,2.023,2.429,0.4152,0.6514,0.2303
up7_lvl+d,2.056,1.829,2.284,2.76,0.2448,0.5019,0.1409
up7_d,2.115,1.869,2.344,2.842,0.1994,0.4525,0.1162
up7_d+grad,2.075,1.842,2.286,2.764,0.2423,0.4972,0.133
own_lvl+d,2.392,2.104,2.675,3.152,0.0152,0.1825,0.0003
lasso_l1_full,1.773,1.574,1.955,2.365,0.4454,0.6705,0.259
lasso_top324_l2,1.83,1.624,2.008,2.395,0.4315,0.6608,0.2355
lasso_top25_l2,1.859,1.655,2.045,2.435,0.4119,0.6438,0.223
