feature,type,coef_raw,coef_std
d_BASEL_pressure,delta,59.5813,0.2836
d_MONTELIMAR_pressure,delta,58.9051,0.2324
d_HEATHROW_pressure,delta,-48.4698,-0.3019
d_LJUBLJANA_pressure,delta,22.6248,0.1067
TOURS_pressure,level,-19.7856,-0.1656
BASEL_pressure,level,12.5608,0.0977
d_TOURS_pressure,delta,-12.3873,-0.064
HEATHROW_pressure,level,-11.5534,-0.1198
d_BUDAPEST_pressure,delta,-10.8984,-0.0515
OSLO_pressure,level,-7.2064,-0.0864
d_MUENCHEN_pressure,delta,3.9743,0.02
d_KASSEL_pressure,delta,2.0906,0.0119
MUENCHEN_pressure,level,1.7058,0.0137
d_STOCKHOLM_pressure,delta,-1.6315,-0.0118
d_MAASTRICHT_humidity,delta,1.558,0.1307
d_DUSSELDORF_pressure,delta,1.3407,0.0078
d_PERPIGNAN_pressure,delta,1.228,0.0049
DRESDEN_humidity,level,-0.9156,-0.1235
LJUBLJANA_pressure,level,0.7737,0.0059
KASSEL_pressure,level,0.7492,0.0067
d_OSLO_pressure,delta,-0.7173,-0.0053
d_MONTELIMAR_humidity,delta,0.6477,0.0606
d_TOURS_humidity,delta,0.5713,0.0476
d_MAASTRICHT_pressure,delta,0.5632,0.0033
DUSSELDORF_pressure,level,0.5622,0.0051
