hidden,dropout,wd,mean_val_mae,seed_test_mean,seed_test_std,ensemble_test_mae
"(32,)",0.2,0.0001,1.829,1.738,0.032,1.714
"(32,)",0.2,0.001,1.827,1.735,0.013,1.701
"(32,)",0.4,0.0001,1.82,1.743,0.02,1.719
"(32,)",0.4,0.001,1.817,1.741,0.023,1.717
"(64, 32)",0.2,0.0001,1.83,1.76,0.031,1.733
"(64, 32)",0.2,0.001,1.828,1.769,0.022,1.737
"(64, 32)",0.4,0.0001,1.797,1.77,0.018,1.751
"(64, 32)",0.4,0.001,1.798,1.758,0.023,1.738
"(128, 64)",0.2,0.0001,1.849,1.753,0.033,1.709
"(128, 64)",0.2,0.001,1.843,1.755,0.039,1.714
"(128, 64)",0.4,0.0001,1.812,1.76,0.019,1.717
"(128, 64)",0.4,0.001,1.811,1.753,0.019,1.71
