model,MAE,MAE_lo,MAE_hi,RMSE,R2,corr,skill_vs_zero
zero,2.393,2.104,2.68,3.176,-0.0,,0.0
yesterday_delta,3.447,3.033,3.916,4.647,-1.1413,-0.0718,-0.4405
monthly_delta_clim,2.393,2.098,2.682,3.174,0.001,0.0339,0.0002
lin_levels_all163,1.845,1.651,2.033,2.383,0.4368,0.6654,0.2288
lin_lvld_all163,1.827,1.623,2.014,2.4,0.4288,0.6597,0.2365
lin_lvld_grad,1.829,1.624,2.012,2.41,0.424,0.6596,0.2358
lin_up7_lvld,2.056,1.829,2.284,2.76,0.2448,0.5019,0.1409
lin_own_lvld,2.392,2.104,2.675,3.152,0.0152,0.1825,0.0003
lasso_l1_all163,1.773,1.574,1.955,2.365,0.4454,0.6705,0.259
mlp_ens_best,1.751,1.546,1.946,2.341,0.4569,0.6824,0.2685
